state_code,state_label,cell_count_30m,share_of_grid,share_of_finite_grid
0,no_data,11983924,0.5639058444430641,
1,cold,379956,0.0178789025223465,0.040997803558071914
2,background,7706057,0.3626099915112433,0.8314947285825331
3,episodic_hotspot,853175,0.0401463134139294,0.09205882010195392
4,persistent_hotspot,328528,0.0154589481094164,0.03544864775744099
