category,pixel_count,level3_complete_pixels,level4_complete_pixels,level3_changed_pixels,level4_changed_pixels,match_max_change_year_pm1,match_first_hotspot_year_pm1,level3_changed_share,level4_changed_share,level3_complete_share,match_max_change_year_pm1_share_of_l3_changed,match_first_hotspot_year_pm1_share_of_l3_changed
positive_slope,4153371,4152864,4152853,3125911,3788029,438529,290030,0.7526202210204674,0.9120372343332681,0.9998779304810478,0.14028838313054978,0.09278255203043209
persistent_ge3,781578,781532,781532,578710,778202,214839,374365,0.7404379345375638,0.9956805334848218,0.999941144709805,0.37123775293324807,0.6468956817749822
persistent_ge2,1992917,1992358,1992354,1441490,1961070,575096,792679,0.7233065902895103,0.9840199064988657,0.9997195066327399,0.3989594100548738,0.5499025314084732
high_variance,4149329,4148370,4148364,2833860,3824679,1135861,1196483,0.6829682582412723,0.9217584337130172,0.9997688782933337,0.40081761272610505,0.42220963632642405
temporary_or_recovery_candidate,2150815,2150494,2150492,1460504,1979249,530963,538070,0.679046779941557,0.920232098065152,0.9998507542489707,0.36354778898243345,0.3684139173874224
negative_slope,4156136,4154939,4154923,2793305,3766472,1743284,704975,0.6720918179770825,0.9062436840372885,0.9997119921003548,0.6240936811411572,0.25238024490701877
endpoint_hotspot,4550716,4549296,4549261,2946215,3999162,1270542,832943,0.6474179008314296,0.8787984132606825,0.999687961191162,0.4312455133111467,0.28271629870868215
sudden_candidate,3064197,3063388,3063369,1861735,2569359,821742,347279,0.6075767974448119,0.8385097302817018,0.9997359830324225,0.4413850521153655,0.18653514060808868
stable_control,3484658,3484032,3483993,1043964,2002740,405094,0,0.29958865403721113,0.5747307196287268,0.9998203553978612,0.3880344532953244,0.0
